Reviews,Pos Office Branch,User,Reviews,Rate,tanggal_review
layan nya kurang ramah petutidaks perempuan cuek,kantor pos besar pontianak,sabandi,"pelayanan nya kurang ramah, petugas perempuan cuek",1,2025-07-21
pos indonesia pontianak sultan abdulrahman ambil uang luar negeri bisa mau kirim brg bisa sudah lama tdk pos indonesia pontianak banyak ubah layan masyarakat lebih tintidakatkan admin,kantor pos besar pontianak,andy susanto,"pos indonesia di pontianak di sultan abdulrahman
ambil uang dr luar negeri bisa
mau kirim brg bisa

sudah lama tdk ke pos indonesia di pontianak
banyak perubahan untuk layanan masyarakat lebih di tingkatkan untuk admin dll",4,2023-08-11
udah hampir lupa gimana rasa kantor pos karena surat dinas kirim via pos layan santidakt lama petutidaksnya ramah ruantidakn layan gelap tidak nyaman,kantor pos besar pontianak,edi suprianto,"udah hampir lupa gimana rasanya ke kantor pos, tapi karena surat dinas harus dikirim via pos. layanannya sangat lama, petugasnya tidak ramah, ruangan layanan gelap, dan tidak nyaman.",1,2019-08-11
kirim dokeumen penting jakarta tgl 28september hari tgl 31 oketober ketemu pos dapat surat panggil pentidakmbilan paket kali barang nya ada,kantor pos besar pontianak,susi nyamar 1,kirim dokumen penting dari jakarta tgl 28september sampai hari ini  tgl 31 oktober gk ketemu di pos sudah dapat surat panggilan pengambilan paket dua kali tapi barang nya gk ada..,1,2024-11-11
min bisa cair bsu kh,kantor pos besar pontianak,yusda mahendra,min masih bisa cair bsu kh,3,2025-08-07
bayar ontidakos kirim d suruh ambil sendiri,kantor pos besar pontianak,feny armana,bayar ongkos kirim tapi d suruh ambil sendiri?,1,2025-04-11
mantap sekali layan cepat ramah professional jaya selalu kantor pos indonesia,kantor pos besar pontianak,sakidan,"mantap sekali, pelayanan cepat, ramah dan professional.

jaya selalu kantor pos indonesia",5,2021-08-11
antri padahal ramai lah buka 1 lokeet saja mana 1 lokeet ngelayaninnya lama banget petidakwai lain bolak balik liat liat,kantor pos besar pontianak,muhammad sutrisna,"yg antri padahal ramai
lah hanya buka 1 loket aja
mana 1 loket ngelayaninnya lama banget
pegawai yg lain hanya bolak balik aja liat liat aja",2,2025-01-11
kasir nya judesss lokeet no 3,kantor pos besar pontianak,rahmat hidayat,kasir nya judesss (loket no 3),1,2025-06-11
layan buruk tidak ramah sama sekali padahal bayar bukan gratis,kantor pos besar pontianak,shinoobi,"pelayanan buruk dan tidak ramah sama sekali
padahal kita bayar bukan gratis",1,2025-02-11
layan hari sabtu lumayan bagus walaupun banyak cs kosong,kantor pos besar pontianak,andi agusalim,"pelayan hari sabtu lumayan bagus, walaupun banyak cs yg kosong",4,2020-08-11
ditintidakatkan layan biar hidup pos indonesia,kantor pos besar pontianak,m. ulum,tolong ditingkatkan pelayanannya. biar bisa hidup lagi pos indonesia.,3,2020-08-11
layan ramah lama banyak minta itu pin minta buntu padahal biasa sendiri klik sifat rahasia,kantor pos besar pontianak,sefri putra,"pelayanan tidak ramah, lama dan banyak dimintai ini itu, pin diminta disebutkan padahal biasanya kita sendiri yang klik karena sifat rahasia",2,2024-08-11
kirim lama sampai pesan shopee via regular kirim via cargo akhir 15 hari sampai2 padahal layan regular lebih mahal layananya ntidak proffesional bukan cepat di malah nunggu terlalu lama kayak memang banyak males2an lah karyawannya mentang2 bumn layananya kalah sama swasta,kantor pos besar pontianak,syaiful alaydrus,"pengiriman lama sampainya, pesan di shopee via regular dikirim via cargo akhirnya 15 hari belum sampai2 padahal layanan regular lebih mahal tapi layananya ngak proffesional. bukan cepat yang di dapat malah nunggu terlalu lama

kayaknya memang banyak males2an lah karyawannya..

mentang2 bumn tapi layananya kalah sama swasta..",1,2023-08-11
layan santidakt bagus baik sambut dentidakn ramah tidak di sulit mentidakmbil uang luar negeri sehat selalu karyawan,kantor pos besar pontianak,mour wellen,"pelayanan sangat bagus, baik dan di sambut dengan ramah.
tidak di persulit untuk mengambil uang dari luar negeri. sehat selalu para karyawan.",5,2024-08-11
hanya laku tari western union sini layan begitu kalau layan petidakwai perintah kena ramah ramah kena jutek jentidakelin banget kadang padahal sepi antri konter jg kosong panggil tidak tau petutidaksnya sibuk apa,kantor pos besar pontianak,syak cin,"saya hanya melakukan penarikan western union di sini. untuk pelayanannya, ya begitulah kalau dilayani pegawai pemerintah. kena yang ramah ya ramah, kena yang jutek ya jengkelin banget.
kadang padahal sepi antrian, konter-konter jg kosong, tapi ga dipanggil-panggil, ga tau petugasnya sibuk apa.",3,2022-08-11
layan santidakt buruk unjung abai hny surh tunggu2 jelas barang website pos indonesia ssudah tiba dipontianak tp kata cs nya bulan baru nyampe jelas sama sekali barantidaku ssudah 10 hr mash kunjung tiba,kantor pos besar pontianak,hdp official,"pelayanan sangat buruk, pengunjung diabaikan hny surh tunggu2 gak jelas. barang di website pos indonesia sudh tiba dipontianak tp kata cs nya sebulan lagi baru nyampe. gak jelas sama sekali. barangku sudh 10 hr mash belum kunjung tiba",1,2022-08-11
jam sore cepat karna cukup sepi,kantor pos besar pontianak,ees,jam sore cepat karna cukup sepi,4,2019-08-11
pentidaklaman santidakt buruk kalau cerita kirim paket kilat udah 1minggu lebih blm datang sekarang sesal lah jika guna layan post ,kantor pos besar pontianak,sudaru hunter brj hunter,"pengalaman sangat buruk kalau saya ceritakan ,kiriman paket kilat aja udah 1minggu lebih  blm datang sampai sekarang, menyesal lah anda jika menggunakan layanan post .",1,2021-08-11
paket tgl 2 status tidaktidakl kirim tp tidakada ngehubungin sama sekali kantor ditelfon jg ntidakntidakat,kantor pos besar pontianak,handika ramadhan,"paket dr tgl 2 status gagal kirim, tp gaada yg ngehubungin sama sekali. kantornya ditelfon jg ga ngangkat",1,2023-08-11
paket luar negeri tidak sampai2 padahal kirim jakarta tgl 12 nov kemarin kantor pos kobar di blg bom nyampe jakarta ke pontianak perlu proses 14hari ,kantor pos besar pontianak,marcellinka yuni agatha,"paket dari luar negeri saya tidak sampai2, padahal sudah di kirimkan dari jakarta dari tgl 12 nov, tapi kemarin saya ke kantor pos kobar di blg masih belom nyampe.
jakarta ke pontianak perlu proses 14hari ?",1,2020-08-11
batidakimana pesan tangtidakl 16 dari diri koke mas bom ptk jutidaka uda minggu di aplikasi ada pergeran malah on progess tolong tinjau paket saya harap pihak kantor pos hubung untuj tinjau paket 089653836893,kantor pos besar pontianak,pita pontianak,bagaimana ini pesanan saya dari tanggal 16 dari kediri  kok masi belom sampai ptk jugaa uda seminggu ini di aplikasi gak ada pergeran malah on progess aja tolong tinjauan paket saya .saya harap pihak kantor pos bisa hubungi saya untuj tinjauan paket saya :089653836893,1,2021-08-11
kirim dokeumen koke pas cek resi alamat terima isi pdhalkan udah lentidakap alamat kenapa barang sampai pas cek di resi tulis antar selesai delivered,kantor pos besar pontianak,bintang nopi,"saya kirim dokumen kok pas di cek di resi alamat penerima gak di isi pdhalkan udah lengkap alamatnya dan kenapa barang belum sampai"" tapi pas dicek di resi tulisannya antaran selesai/delivered",1,2020-08-11
antri terlalu lama lokeet banyak ntidak layan tutup,kantor pos besar pontianak,bang ali,antri terlalu lama loket banyak yg nga melayani/tutup,2,2018-08-11
milih kirim express hari senin tp sampe skrg di antar2 2x aku ngirim paket pake ekspedisi ini santidakt kecewa  ,kantor pos besar pontianak,ade rizky amelia,milih pengiriman express dr hari senin tp sampe skrg gak di antar2!!! gak 2x lagi aku ngirim paket pake ekspedisi ini!!! sangat mengecewakan!!! 👎🏻👎🏻 …,1,2020-08-11
ntidakco lu ngirim barang iya kata kilat paket kilat kilat apan hartidak 37 minggu ktidak nyampe merek belah 30 ribu hari langsung nyampe nipu orang apa gimna gila tang mentang punya perintah senak jidat lu,kantor pos besar pontianak,elis kashady,"ngaco lu ngirim barang,  iya di kata kilat paket kilat kilat apan  harga 37 seminggu kgk nyampe"" merek sebelah 30 ribu sehari langsung nyampe,  nipu orang apa gimna,  gila ya tang mentang punya pemerintah... senak jidat lu aja",1,2019-08-11
kirim dari pare kedi 1bulan sejak tgl 27 bulan 11 jutidak sampai kirim senapan angin pos imdonesia di baik layan nya,kantor pos besar pontianak,aris aja,"kiriman saya dari pare kedi udh 1bulan sejak tgl 27 bulan 11 belum juga sampai, kiriman senapan angin....pos imdonesia tolong di perbaiki pelayanan nya....",1,2020-08-11
bpk ibu paket atas nama ahmad abdurrahman rosit,kantor pos besar pontianak,aman lora,bpk dan ibu ada paket atas nama ahmad abdurrahman rosit,5,2024-10-11
kirim barang taiwan biaya 940 000 janji estimasi 7 10 hari nyata sampai2 kalau bisa jantidakn terima uang susah cari,kantor pos besar pontianak,john wick88,"kirim barang ke taiwan, biaya 940.000 janji estimasi 7/10 hari... nyatanya ga sampai2.... kalau ga bisa jangan di terima... uang susah di cari...",1,2022-08-11
kirim barang purbalingtidak tuju pontianak masak iya sih nyasar ke pantidakalabun jelas tera alamat lentidakap kode pos tidak masuk akal sekali,kantor pos besar pontianak,richi faizal,"kiriman barang dari purbalingga tujuan pontianak.masak iya sih bisa nyasar sampai ke pangkalabun,jelas"" sudah tertera alamat lengkap dgn kode posnya..
gak masuk akal sekali???",1,2020-08-11
besar sepi pernah jaya era,kantor pos besar pontianak,desember fajartanto,"besar namun sepi.., pernah jaya dieranya..",5,2022-08-11
becus jadi kurir tolong simak betul2 alamat jelss nama saya nmr hape sy kirim org lain tlg antr brg sy krmh sy nmr resi,kantor pos besar pontianak,feruziangame,"gk becus ya jadi kurir
tolong di simak betul2 alamat udh jelss ada nama saya+nmr hape sy kenapa terkirim ke org lain!tlg antr brg sy krmh sy ada nmr resinya!",1,2018-08-11
barang di kantor pos ksd pontianak belum ambil padahal udah nunggu lama lebih 2 minggu mau segera balik kampung cepat kalau besoke udah ambil barang nya,kantor pos besar pontianak,tengku satya pratama putra,"barang sudah di kantor pos ksd pontianak tapi belum bisa diambil padahal udah nunggu selama lebih dari 2 minggu, mau segera balik kampung tolong dipercepat kalau bisa besok udah bisa diambil barang nya",1,2019-08-11
aman motor kirim lewat pos indonesia pas spion hilang padahal pas kirim lentidakap spion,kantor pos besar pontianak,luqman ieman,"tidak aman, motor saya kirim lewat pos indonesia pas sampai spion hilang, padahal pas kirim lengkap ada spionnya",1,2022-08-11
kantor pos jadi satu antara pilih masyarakat kota pontianak kirim paket atau uang tunai itu dentidakn konsep gedung modern kursi tunggu pada ada dingin ruantidakn puntuk konsumen jadi nyaman nikmat layan ada,kantor pos besar pontianak,rizqi maghribi,"kantor pos yang menjadi satu di antara pilihan masyarakat kota pontianak untuk mengirimkan paket ataupun uang tunai. selain itu, dengan konsep gedung yang modern, kursi tunggu yang memadai, serta adanya pendingin ruangan, membuat konsumen menjadi nyaman dalam menikmati pelayanan yang ada.",4,2017-08-11
apa tutup masih buka dariop off brg,kantor pos besar pontianak,hndl hend,apa sudah tutup/ ada masih buka utk drop off brg,3,2024-11-11
lelet lama banyak ngobrol,kantor pos besar pontianak,ali sofyan,"lelet lama, banyakan ngobrol",1,2025-03-11
santidakt buruk barang pesan alibaba datang lgsg antar rumah uda bulu baru antar tulis alamat hilang semua,kantor pos besar pontianak,fania valentina,sangat buruk.. barang pesanan dr alibaba datang tidak lgsg diantar kerumah.. uda bulukan baru diantar sampai tulisan alamat hilang semua..,1,2020-08-11
paket dari jakarta pontianak uda hampir 1 minggu lebih blum kirim saya pontianak pdhl tera di paket pos kilat sampe kurang lebih 5 hr di telp smua no tidak antidakat yang di pontianak sini kapoke2 pake layan pos ini,kantor pos besar pontianak,claudia,"paket saya dr jakarta ke pontianak,uda hampir 1 minggu lebih blum terkirim ke saya yg di pontianak,pdhl tertera di paketnya pos kilat sampe kurang lebih 5 hr,di telp smua no.gk ada yg angkat yg di pontianak sini...kapok2 pake layanan pos ini....",1,2018-08-11
lihat riwayat orang  sy pikir kantor pos ptk santidakt buruk layan nya,kantor pos besar pontianak,amir rudin,"setelah melihat riwayat orang lain , sy berpikir kantor pos di ptk sangat buruk pelayanan nya",3,2021-08-11
ken nanya cara kerja kantor pos gimana ambil di anterin toh jutidak di bilang kantor pos yang mana jadi bingung gua,kantor pos besar pontianak,freina demetz winter,"pengen nanya cara kerja kantor pos itu gimana? kita yang ambil atau di anterin,toh juga ga di bilang kantor pos yang mana jadi bingung gua",1,2021-08-11
paket gula merah tangtidakl 29 juli 2021 datang dari malimping padahal makan kalau jamur rugi saya,kantor pos besar pontianak,hana pusparini,paket gula merah saya dari tanggal 29 juli 2021 belum datang dari malimping... padahal itu makanan kalau jamuran rugi saya...,1,2022-08-11
paket d bilang 1 hari sampai ngtidak sampai2 d telpn konfirmasi ngtidak d antidakat antidakat trus harus cari paket mana,kantor pos besar pontianak,dila aprillia,paket d bilang 1 hari sampai. tapi nggak sampai2. d telpn buat konfirmasi nggak d angkat angkat. trus kita harus cari paket kita kemana?,1,2019-08-11
cacat judul doang pos kilat saja lama sampenya,kantor pos besar pontianak,bilt odyssey,"cacat, judulnya doang pos kilat. masih aja lama sampenya",1,2024-08-11
barang lama sampe banyak alesan nyantidakut sana sini lah padahal webnya udah jelas barang pontianak layan buruk nomer telepon pernah antidakat,kantor pos besar pontianak,dimas yoga,"barang lama sampe, banyak alesan nyangkut sana sini lah, padahal di webnya udah jelas barang di pontianak, pelayanan buruk nomer telepon tidak pernah di angkat",1,2019-08-11
atidak kecewa tiap kali mau tarik uang selalu ssaja tidaknngguan sampe 4hri bolak balik post tidakngguan melulu uda datang jauh kampung,kantor pos besar pontianak,jaka swara,agak kecewa tiap kali mau tarik uang selalu saja ganngguan sampe 4hri bolak balik post gangguan melulu udalah datang jauh dari kampung....,2,2019-08-11
cepat ramah kualitas jaya selalu pos indonesia,kantor pos besar pontianak,time to rayyan,"cepat, ramah dan berkualitas.

jaya selalu pos indonesia",5,2024-08-11
mitra dentidakn kantor pos,kantor pos besar pontianak,kang mus,bermitra dengan kantor pos,5,2019-08-11
susah sekali hubugin kantor pos nya tiap tlp pernah jawab hadeeewe,kantor pos besar pontianak,tina sadin,"susah sekali hubugin kantor pos nya..
setiap di tlp gak pernah di jawab.. hadeeewe",1,2017-08-11
pelayananya cepat cs nya ramah koperasi jutidak murah ndak nyantidakee hahah tapi halamn depan kayaknye perlu sedikit poles biar lebih jempoool,kantor pos besar pontianak,mj11_12 channel,"pelayananya cepat...   cs. nya ramah..
koperasinya juga murah... ndak nyangkee..  hahah
tapi untuk halamn depan kayaknye perlu sedikit polesan..  biar lebih.  jempoool..",4,2018-08-11
kapokekkkk pake pos hartidak doank dinaikin tp imbang dg layan,kantor pos besar pontianak,ary elvandari,kapokkkkk pake pos.. harga doank yg dinaikin tp gak diimbangi dg pelayanan,1,2020-08-11
kantor pos sini mantap baik ditintidakatkan tintidakat cuek,kantor pos besar pontianak,totok susilo pamuji nugroho,"kantor pos sini mantap,,,
sebaiknya ditingkatkan lagi tingkat cueknya",1,2022-08-11
petidakwai ramah hari pertama kirim barang bisa hari dua tolak mentah2 lagi deh,kantor pos besar pontianak,chelyka manurung,pegawai tidak ramah. hari pertama kirim barang bisa. hari kedua ditolak mentah2. gak lagi deh.,1,2023-08-11
mana ni paket saya tangtidakl 4 sekarang di antar rumah,kantor pos besar pontianak,mardonius hero,"mana ni paketan saya, dari tanggal 4 sampai sekarang belum di antar ke rumah",1,2020-08-11
layan santidakt buruk terlalu prosedur,kantor pos besar pontianak,elyza fatinah,"pelayanan sangat buruk, terlalu prosedur",1,2024-08-11
bumn kecewa paket lelet banget sampai,kantor pos besar pontianak,kevin,bumn yg mengecewakan.. paket lelet banget sampainya,1,2020-08-11
the staffs in customer service aren t friendly staff nya lebih tidaklak kirim ,kantor pos besar pontianak,christina beatrice,the staffs in customer service aren't friendly. ketika staff nya lebih galak dari pengirim :(,1,2020-08-11
tidak kirim barang minyak urut malaysia berapa biaya,kantor pos besar pontianak,eki dwi c a y,bisa gak kirim barang minyak urut ke malaysia???berapa biaya,2,2022-08-11
mas lama banget sih barang datang hmpir 2 minggu ne,kantor pos besar pontianak,rofijks virahman,"mas lama banget sih barangnya datang, udh hmpir 2 minggu ne",1,2018-08-11
susah hubung kantor pos pontianak mana layan ny,kantor pos besar pontianak,litha phang,kenapa susah di hubungi kantor pos pontianak... mana pelayanan ny??,1,2017-08-11
layan jelek banget,kantor pos besar pontianak,davin lisley,pelayanan jelek banget,1,2025-01-11
paket antar warnet padahal alamat tera jelas,kantor pos besar pontianak,vincent william,paket saya diantar ke warnet padahal alamat sudah tertera jelas,1,2018-08-11
cair western union dentidakn cepat mudah,kantor pos besar pontianak,sony hartono,bisa mencairkan western union dengan cepat dan mudah.,4,2016-08-11
layan baik cari sempat sempit,kantor pos besar pontianak,arfa satria,"pelayanan tidak baik, mencari kesempatan dalam kesempitan.",1,2020-08-11
layan muas cukup enak unjung meski ditentidakh siang bolong,kantor pos besar pontianak,lukman hqeem,"layanannya memuaskan, cukup enak mengunjunginya meski ditengah siang bolong.",5,2017-08-11
kirim berkas penting aman,kantor pos besar pontianak,prasetyo aji nugroho,untuk pengiriman berkas penting bisa aman,4,2021-08-11
kurir malas sekali antar paket,kantor pos besar pontianak,tono chia,kurirnya malas sekali antar paketnya.,1,2017-08-11
malam saya mau nanya bantu blt udah kelhar pak,kantor pos besar pontianak,fikri ptk,"malam ,saya mau nanya bantuan blt udah kelhar ya pak",5,2020-08-11
telpon selalu antidakat lbh 5x telpon tak yang antidakat,kantor pos besar pontianak,radika aryuli,"ditelpon selalu ga angkat
lbh dr 5x telpon tak ada yg angkat",1,2019-08-11
d telfon ada antidakat susah benar antidakat telfon,kantor pos besar pontianak,inge galau,"kenapa d telfon  tidak ada yang angkat
susah benar angkat telfon",1,2017-08-11
petutidaksnya punya kerja baik,kantor pos besar pontianak,subhan almursyidi,petugasnya punya kinerja yg baik,5,2019-08-11
kantor pos besar wil kalbar,kantor pos besar pontianak,pramono djati,kantor pos besar di wil kalbar,5,2021-08-11
lg masang sounsiste,kantor pos besar pontianak,junaidi junaidi,saya lg masang sounsiste...,5,2016-08-11
layan cukup bagus,kantor pos besar pontianak,arman,pelayanannya cukup bagus,5,2021-08-11
layan bagus cepat tangtidakp,kantor pos besar pontianak,widyantara,pelayanan bagus dan cepat tanggap.,4,2018-08-11
mending jantidakn pake pos,kantor pos besar pontianak,andy arkham (andy),mending jangan pake pos,1,2018-08-11
beli materai dsini sj,kantor pos besar pontianak,mulyadi ardiansyah,beli materai dsini sj,4,2018-08-11
layan santidakt buruk,kantor pos besar pontianak,stefan kolius,pelayanan sangat buruk,1,2019-08-11
telp diantidakat2,kantor pos besar pontianak,elit irawan,telp ga diangkat2...,1,2017-08-11
kantor pos pusat pontianak,kantor pos besar pontianak,inoue jun,kantor pos pusat pontianak,5,2020-08-11
telpon pernah antidakat,kantor pos besar pontianak,birned satriadi,telpon tidak pernah di angkat,2,2017-08-11
kantor pos pontianak,kantor pos besar pontianak,186 pay,kantor pos pontianak,5,2017-08-11
kantor pos pontianak,kantor pos besar pontianak,hardi yanto,kantor pos pontianak,3,2017-08-11
tidak sentidakja kehilantidakn catat konsinyasi saya datang kantor minta cetak baru tidak cetak bahkan beri saya nomor nota kirim saya perlu nomor catat kirim untuk lacak,kantor pos besar pontianak,boby mugi pratama,"saya tidak sengaja kehilangan catatan konsinyasi saya. ketika saya datang ke kantor meminta mereka untuk mencetak yang baru, mereka tidak dapat mencetaknya atau bahkan memberi saya nomor nota pengiriman.

saya hanya memerlukan nomor catatan pengiriman untuk pelacakan.",1,2017-08-11
kantor pos nyaman layan bisa ditintidakatkan waktu tunggu atidak lama,kantor pos besar pontianak,erwin lay,kantor posnya nyaman. pelayanannya masih bisa ditingkatkan. waktu tunggunya agak lama,4,2018-08-11
ada tunjuk arah jelas unjung baru waktu layan okee,kantor pos besar pontianak,rykin,"tidak ada petunjuk arah yang jelas untuk pengunjung baru, waktu pelayanan oke.",3,2019-08-11
tempat bagus harus profesional,kantor pos besar pontianak,kristian sakti,tempat yang bagus tapi harus profesional,4,2019-08-11
western union sedia sini,kantor pos besar pontianak,regina then,western union tersedia di sini,4,2020-08-11
tempat kuno jadi waspada,kantor pos besar pontianak,fingki sentosa,tempat kuno jadi waspadalah,3,2016-08-11
post indonesia satu  lama  ,kantor pos besar pontianak,susiloisasi,post indonesia satu & selamanya 👌 …,4,2019-08-11
kantor pos lokeal,kantor pos besar pontianak,andru alexander,kantor pos lokal,4,2017-08-11
layan baik,kantor pos besar pontianak,wahyu waskito,pelayanan yang baik,5,2017-08-11
lama sekali,kantor pos besar pontianak,ej_ jak,sudah lama sekali,1,2019-08-11
beli materai jam 9 pagi nyata petidakng kunci tempat simpan materai datang tanya nya jam ops kantor pos banjarmasin benar jam berapa ya,kantor pos banjarmasin,etika,"beli materai jam 9 pagi. ternyata yg pegang kunci tempat penyimpanan materai belum datang. pertanyaan nya, jam ops kantor pos banjarmasin sebenarnya dari jam berapa ya?",1,2025-07-11
nyata surat paket tak kunjung datang biasa alamat lentidakap membinguntidakan kita ambil cari langsung bagi ini,kantor pos banjarmasin,neri willis,"ternyata untuk surat atau paket yg tak kunjung datang (biasanya karena alamat tidak lengkap/membingungkan), bisa kita ambil dan cari langsung ke bagian ini.",4,2024-08-11
kapan bansos bont lalu kantor pos caikan bln juli mau hbis,kantor pos banjarmasin,rini icha,kapan bansos bont yg melalui kantor pos di caikan bln juli sdh mau hbis,3,2025-07-28
terlalu lama antri beli materai dan mana tellernya cuman 1 layan doang pun layan orang 1 sungguh lama,kantor pos banjarmasin,fendi cool,terlalu lama buat antri beli materai aja dan mana tellernya cuman 1 layanan doang itu pun melayani orang 1 aja sungguh lama,2,2024-08-11
layan cepat karyawan ramah pentidaklaman luar biasa layan beri santidakt muas ramah produk layan sesuai dentidakn deskripsi kualitas santidakt baik kirim tepat waktu barang terima kondisi sempurna santidakt rekomendasi siapa ssaja butuh layan kantor pos ini akan lagi,kantor pos banjarmasin,khairu nisa,pelayan cepat dan karyawan ramah. pengalaman yang luar biasa! pelayanan yang diberikan sangat memuaskan dan ramah. produk/layanan sesuai dengan deskripsi dan kualitasnya pun sangat baik. pengiriman tepat waktu dan barang diterima dalam kondisi sempurna. saya sangat merekomendasikan kepada siapa saja yang membutuhkan layanan kantor pos ini. pasti akan kembali lagi!,5,2024-09-11
iring jalan waktu pos sekarang makin banyak maju mulai layan makin variatif petidakwai friendlyy ramah sekali pokeokenyaa kerenn sekali pos sekarangg  ,kantor pos banjarmasin,berta oktila,"seiring berjalannya waktu, pos sekarang sudah semakin banyak kemajuannya, mulai dari layanan yang makin variatif, pegawai yang friendlyy dan ramah sekalii, pokoknyaa kerenn sekalii pos sekarangg 🫶🫶🫶 …",5,2024-09-11
paling buruk antara cabang lain parkir bayar layan ramah jutek,kantor pos banjarmasin,rezky irfansyah,"paling buruk diantara cabang yang lain. parkir bayar, pelayanan tidak ramah. jutek.",1,2020-08-11
luar dutidakan paket kirim lebih cepat 5 6 hari estimasi kirim paket kira datang tgl 30 juli-1 agustus datang tangtidakl 25 juli,kantor pos banjarmasin,nisekkai nekka2nd,"diluar dugaan, paket pengiriman lebih cepat 5/6 hari dari estimasi pengiriman

paket perkiraan datang tgl 30 juli-1 agustus, datang pada tanggal 25 juli",5,2024-08-11
sekarang layan apa kita perlu dikantorpos kirim barang kirim terima uang dalam negeri maupun luar negeri hituntidakn menit maupun hari dentidakn hartidak terjantidakau segera bayar apa  asuransi ada bayar pensiun baik asn maupun tni masih banyak,kantor pos banjarmasin,syarwani kembar,"sekarang layanan apa yg kita perlukan ada dikantorpos (pengiriman barang, pengiriman dan penerimaan uang dari dalam negeri maupun luar negeri yg hitungan menit maupun yg sehari dengan harga yg terjangkau, segera pembayaran apapun , asuransi pun ada, pembayaran pensiun baik asn maupun tni dan masih banyak lagi",4,2024-08-11
